ano;sigla_uf;id_municipio;numero_obitos
1996;GO;5200902;19
1996;GO;5201108;1677
1996;GO;5201207;4
1996;GO;5201306;95
1996;GO;5201405;950
1996;GO;5201454;3
1996;GO;5201504;17
1996;GO;5201603;24
1996;GO;5201702;74
1996;GO;5201801;33
1996;GO;5202155;20
1996;GO;5202353;14
1996;GO;5202502;18
1996;GO;5202601;28
1996;GO;5202809;7
1996;GO;5203104;10
1996;GO;5203203;42
1996;GO;5203302;90
1996;GO;5203401;40
1996;GO;5203500;72
1996;GO;5203559;14
1996;GO;5203609;9
1996;GO;5203807;26
1996;GO;5203906;58
1996;GO;5203939;3
1996;GO;5203962;3
1996;GO;5204003;21
1996;GO;5204102;30
1996;GO;5204201;4
1996;GO;5204250;35
1996;GO;5204300;54
1996;GO;5204409;62
1996;GO;5204508;136
1996;GO;5204557;5
1996;GO;5204607;12
1996;GO;5204656;15
1996;GO;5204706;50
1996;GO;5204805;17
1996;GO;5204904;75
1996;GO;5204953;16
1996;GO;5205000;30
1996;GO;5205059;6
1996;GO;5205109;321
1996;GO;5205208;18
1996;GO;5205307;29
1996;GO;5205406;124
1996;GO;5205455;35
1996;GO;5205471;3
1996;GO;5205497;76
1996;GO;5205513;40
1996;GO;5205521;3
1996;GO;5205703;14
1996;GO;5205802;60
1996;GO;5205901;35
1996;GO;5206206;132
1996;GO;5206305;12
1996;GO;5206404;48
1996;GO;5206503;16
1996;GO;5206602;21
1996;GO;5206701;7
1996;GO;5206800;10
1996;GO;5206909;9
1996;GO;5207105;12
1996;GO;5207253;23
1996;GO;5207352;21
1996;GO;5207402;37
1996;GO;5207501;25
1996;GO;5207535;19
1996;GO;5207600;36
1996;GO;5207808;59
1996;GO;5207907;15
1996;GO;5208004;324
1996;GO;5208103;36
1996;GO;5208301;7
1996;GO;5208400;37
1996;GO;5208509;43
1996;GO;5208608;224
1996;GO;5208707;5261
1996;GO;5208806;60
1996;GO;5208905;170
1996;GO;5209101;208
1996;GO;5209150;7
1996;GO;5209200;61
1996;GO;5209291;1
1996;GO;5209408;18
1996;GO;5209457;11
1996;GO;5209606;7
1996;GO;5209705;68
1996;GO;5209804;15
1996;GO;5209903;41
1996;GO;5209937;8
1996;GO;5209952;45
1996;GO;5210000;221
1996;GO;5210109;113
1996;GO;5210208;186
1996;GO;5210307;23
1996;GO;5210406;150
1996;GO;5210562;31
1996;GO;5210604;23
1996;GO;5210802;37
1996;GO;5210901;71
1996;GO;5211008;50
1996;GO;5211206;13
1996;GO;5211305;23
1996;GO;5211404;59
1996;GO;5211503;566
1996;GO;5211602;12
1996;GO;5211701;37
1996;GO;5211800;133
1996;GO;5211909;341
1996;GO;5212006;14
1996;GO;5212055;5
1996;GO;5212105;28
1996;GO;5212204;102
1996;GO;5212303;26
1996;GO;5212501;1006
1996;GO;5212600;15
1996;GO;5212709;11
1996;GO;5212808;58
